date,cyclic_index,frame,lon_jupiter,lon_saturn,lon_uranus,lon_neptune,lon_pluto
1968-08-15,820.714746009607,heliocentric,164.51619321417303,19.957315149519886,179.12865086161452,235.7022305068819,172.48805079842884
1968-08-22,819.4200365866773,heliocentric,165.05206983661893,20.20111407643961,179.21939493384542,235.74380727255175,172.5308091875589
1968-08-29,818.1255932205638,heliocentric,165.5874371475999,20.444747684328615,179.30986689139183,235.78511455081855,172.573309633196
1968-09-05,816.8314073833583,heliocentric,166.1228661833956,20.688782835329114,179.4006335352495,235.82671917515432,172.61611897101167
1968-09-12,815.5374705175348,heliocentric,166.6577304797377,20.932588834986483,179.49106413484503,235.86799043864656,172.65860650159695
1968-09-19,814.243774039508,heliocentric,167.1926258808188,21.176757249091505,179.58175024122116,235.90951990844314,172.70136380418666
1968-09-26,812.9503093401045,heliocentric,167.72705835808645,21.420789722149294,179.67219350585452,235.95080924443346,172.7438925554135
1968-10-03,811.6570677841778,heliocentric,168.26155151996727,21.665205479495295,179.7629131870527,235.99237770449875,172.78671203506525
1968-10-10,810.364040712036,heliocentric,168.79555200724752,21.909446703082295,179.85335153707,236.03366752927778,172.82926451155603
1968-10-17,809.0712194562028,heliocentric,169.32959057954167,22.15403958009078,179.94403487501907,236.07520501271478,172.872076311458
1968-10-24,807.7785954068191,heliocentric,169.86324417159366,22.39855633708721,180.03453564508294,236.1165625670075,172.9147198748324
1968-10-31,806.4861600946897,heliocentric,170.39693453803838,22.643414008078622,180.1252711298286,236.15815746363324,172.9576124772804
1968-11-07,805.1939051090408,heliocentric,170.93022298960375,22.88816936187821,180.21579825515497,236.19954665084737,173.00031105191388
1968-11-14,803.9018219459899,heliocentric,171.463523211395,23.133231638799423,180.30652634584538,236.241139477344,173.04322494076442
1968-11-21,802.6099020229161,heliocentric,171.99652268187214,23.378283809102264,180.39713847697035,236.2826190254621,173.08603723282232
1968-11-28,801.3181367438704,heliocentric,172.52950602909345,23.623605906078154,180.48791483165985,236.3242654754469,173.12902811883507
1968-12-05,800.0265175279696,heliocentric,173.06217568102093,23.86889570624541,180.57855336945892,236.36577678179225,173.17189556165545
1968-12-12,799.4948289250201,heliocentric,173.59479109902148,24.114407988343476,180.66930907176962,236.4074079227948,173.21489454371084
1968-12-19,799.1823464661302,heliocentric,174.12718311869511,24.359968889695633,180.76000828886728,236.44898524925466,173.2578514153612
1968-12-26,798.8696308345716,heliocentric,174.6594804640653,24.60570242807139,180.85077525633227,236.49063300109654,173.3008904120716
1969-01-02,798.5566824897328,heliocentric,175.19154592778182,24.851466679827848,180.94146827299298,236.5322094840185,173.34386983231727
1969-01-09,798.2435019236209,heliocentric,175.72346816821914,25.09734555730738,181.03217148854583,236.573798854258,173.38687382368596
1969-01-16,797.9300897148257,heliocentric,176.25524628689573,25.343333347489857,181.12287946681352,236.6153956808904,173.4298969428012
1969-01-23,797.6164465585746,heliocentric,176.78684053653012,25.58938543714435,181.2135479120352,236.6569556866759,173.47289488227943
1969-01-30,797.3025730838854,heliocentric,177.31829204290648,25.83553822742755,181.304213479573,236.69851558669407,173.51590429689685
1969-02-06,796.9884696381207,heliocentric,177.84952026575223,26.08170670984339,181.39479126571317,236.73999056753695,173.5588403043464
1969-02-13,796.6741363893782,heliocentric,178.38070162255283,26.328062932651697,181.48545334829728,236.7815527930689,173.60187501402538
1969-02-20,796.3595734719286,heliocentric,178.91161823462195,26.57438463340783,181.5759774892976,236.82298009993193,173.6447862198574
1969-02-27,796.044781013172,heliocentric,179.44249774087612,26.82089505221884,181.6665869547159,236.8644958237427,173.68779721965376
1969-03-06,795.7297591194658,heliocentric,179.97310423424,27.06735388794276,181.75704146150747,236.9058597496472,173.730667763479
1969-03-13,795.4145078638087,heliocentric,180.50377828684722,27.31409733344257,181.84767720715485,236.94740814219125,173.77373408399922
1969-03-20,795.0990272818306,heliocentric,181.03412677130632,27.560727896937536,181.93809669049563,236.9887435646473,173.81659871729013
1969-03-27,794.7833173767797,heliocentric,181.56454824737213,27.807639779802766,182.02869409397834,237.03026025854828,173.859655884334
1969-04-03,794.4673781391393,heliocentric,182.0946751160238,28.054461008563642,182.11909742766866,237.07158628363658,173.90253363317197
1969-04-10,794.9816198153671,heliocentric,182.62497927544337,28.30165904581064,182.20977416617308,237.11318915011182,173.945699472061
1969-04-17,795.5442936782991,heliocentric,183.15491702640216,28.548685643052732,182.3001761360805,237.15452070820737,173.98860525240724
1969-04-24,796.1065643264787,heliocentric,183.68501447783459,28.796062312125343,182.39082496031415,237.19610261565035,174.0317726181202
1969-05-01,796.6684406879127,heliocentric,184.21480847374855,29.043321462299698,182.48125307481988,237.2374673719782,174.07473403947068
1969-05-08,797.2299313593151,heliocentric,184.74485953759626,29.29101933523078,182.5720166530437,237.27917121455013,174.1180457372581
1969-05-15,797.7910449467279,heliocentric,185.2745209370168,29.53850489001554,182.66246458959594,237.32056307819025,174.16105665182758
1969-05-22,798.351790214293,heliocentric,185.8043838358119,29.786364889588057,182.7531836300553,237.3622297281619,174.20435356723925
1969-05-29,798.9121760766618,heliocentric,186.33393846020093,30.034085077596785,182.84365954601847,237.40365694272288,174.24742228699608
1969-06-05,799.4722115710867,heliocentric,186.8637872728953,30.2822633692601,182.93449031809882,237.44544270023442,174.29086081832622
1969-06-12,800.0319058403727,heliocentric,187.39324482859632,30.53020971643474,183.0249859961746,237.4868970411943,174.33397923316954
1969-06-19,800.5912681270204,heliocentric,187.92290002972976,30.778508366538908,183.11573095668024,237.52860432602307,174.3773619257037
1969-06-26,801.1503077817674,heliocentric,188.4522537015936,31.02665543312056,183.20622147565942,237.57006080741505,174.42050518500434
