date,cyclic_index,frame,lon_jupiter,lon_saturn,lon_uranus,lon_neptune,lon_pluto,segment,kernel
2027-09-01,907.0034724383839,heliocentric,157.79101053352178,22.77967030838129,66.8883879176539,5.068853207139921,306.1088090248438,forecast,de440s.bsp
2027-09-15,909.1869925344462,heliocentric,158.86974609205615,23.26889185075935,67.04973768459223,5.15400475604695,306.17198275337836,forecast,de440s.bsp
2027-09-29,911.3682913427591,heliocentric,159.94730376295317,23.758528164046503,67.2111247031591,5.239156151542562,306.23512664319014,forecast,de440s.bsp
2027-10-13,913.5474347250238,heliocentric,161.02371585491855,24.248578365408957,67.37254886144319,5.324307102138772,306.2982402517111,forecast,de440s.bsp
2027-10-27,915.7244907095298,heliocentric,162.09908603697764,24.73911173426081,67.53408052939945,5.4095276834188235,306.36139352819333,forecast,de440s.bsp
2027-11-10,917.8995281349862,heliocentric,163.173443547761,25.230121973075015,67.69571480415611,5.4948128316115845,306.4245814528124,forecast,de440s.bsp
2027-11-24,920.072613679999,heliocentric,164.24686593977106,25.7216522026026,67.85749585853982,5.580206727382097,306.4878482309293,forecast,de440s.bsp
2027-12-08,922.2438156574223,heliocentric,165.31932983471268,26.213644201034093,68.01936661626067,5.66565210223496,306.5511365200272,forecast,de440s.bsp
2027-12-22,924.4132039805673,heliocentric,166.39089778146527,26.706124552488067,68.18135510310135,5.751176765597292,306.61447412868563,forecast,de440s.bsp
2028-01-05,926.5808490426037,heliocentric,167.4614826415523,27.19896957238191,68.34333921559369,5.836658461497395,306.6777388743467,forecast,de440s.bsp
2028-01-19,928.7468217773393,heliocentric,168.53117680315847,27.6922345263304,68.50537593547998,5.922154072054139,306.7409877779147,forecast,de440s.bsp
2028-02-02,930.9111933256065,heliocentric,169.59985845432894,28.18575964178656,68.66730740390337,6.007505827048569,306.80406336838047,forecast,de440s.bsp
2028-02-16,933.0740312302353,heliocentric,170.66769554208196,28.679676331669427,68.82926650974724,6.092847081794486,306.8670993549171,forecast,de440s.bsp
2028-03-01,935.2354017470061,heliocentric,171.73456379048014,29.17382522230032,68.99109494440086,6.178019905325853,306.9299379560521,forecast,de440s.bsp
2028-03-15,937.3953718851019,heliocentric,172.800706995044,29.66841485862592,69.15300235273229,6.263234222342939,306.9927891828824,forecast,de440s.bsp
2028-03-29,939.554008641447,heliocentric,173.86600546560888,30.163290463719715,69.31483500831014,6.348336557602252,307.05549959559323,forecast,de440s.bsp
2028-04-12,941.7113793921498,heliocentric,174.93073168319162,30.658689536822745,69.4768314378018,6.433565592322489,307.1183078325961,forecast,de440s.bsp
2028-04-26,943.8675528700626,heliocentric,175.99475135056855,31.15444211398839,69.63882289713592,6.518752645291339,307.18104516738185,forecast,de440s.bsp
2028-05-10,946.0225966903726,heliocentric,177.05831777823224,31.650766089224124,69.80102842225273,6.60411698473649,307.2439308705622,forecast,de440s.bsp
2028-05-24,948.1765773605403,heliocentric,178.12126245475895,32.147459011132305,69.96324633696535,6.689457001755639,307.3067631096985,forecast,de440s.bsp
2028-06-07,950.3295639120845,heliocentric,179.1838083820591,32.64470913609543,70.12566593455757,6.774961743346931,307.3697306172275,forecast,de440s.bsp
2028-06-21,952.481627289288,heliocentric,180.24575296507285,33.14227808822358,70.28805018211534,6.8603938030756115,307.4325956994686,forecast,de440s.bsp
2028-07-05,954.6328400175776,heliocentric,181.30731522989745,33.6403481888473,70.45058301534084,6.945936654323453,307.49554158212607,forecast,de440s.bsp
2028-07-19,956.7832767197248,heliocentric,182.36827049127214,34.13865660809076,70.61300361732317,7.031328962935986,307.5583067857969,forecast,de440s.bsp
2028-08-02,958.9330124989036,heliocentric,183.42886895512396,34.63741411847606,70.77552508759976,7.116783564268464,307.62110422900344,forecast,de440s.bsp
2028-08-16,961.0821199699918,heliocentric,184.48888285878456,35.136354744270776,70.93788344672497,7.202036404320221,307.6836699161934,forecast,de440s.bsp
2028-08-30,963.2306725632689,heliocentric,185.5486082896524,35.635736187706314,71.10033846628436,7.2873470500473445,307.746263424255,forecast,de440s.bsp
2028-09-13,965.3787444253467,heliocentric,186.60783878912878,36.135312860830275,71.26264682327322,7.372472027148375,307.80864137258027,forecast,de440s.bsp
2028-09-27,967.1080093169412,heliocentric,187.6668986337175,36.635369691151716,71.42509576310637,7.457698529054884,307.87109110463575,forecast,de440s.bsp
2028-10-11,967.3081449331944,heliocentric,188.72561795279944,37.13569720481045,71.58747819626764,7.542819474590254,307.9334057296704,forecast,de440s.bsp
2028-10-25,967.5084166575627,heliocentric,189.78429591339983,37.636554313359426,71.75005555926967,7.628096521722772,307.99584723048827,forecast,de440s.bsp
2028-11-08,967.7088228727031,heliocentric,190.8427977408354,38.13776771629379,71.91265660009756,7.7133589438070524,308.05824516374605,forecast,de440s.bsp
2028-11-22,967.9093628195878,heliocentric,191.90133491471744,38.639511972820046,72.07545757005157,7.798783322723842,308.12077616025766,forecast,de440s.bsp
2028-12-06,968.1100361833645,heliocentric,192.95979931670092,39.14164203312002,72.23831516186348,7.884226531023541,308.18329707018125,forecast,de440s.bsp
2028-12-20,968.3108429414908,heliocentric,194.01829459370293,39.64422470149436,72.40129794251264,7.969757222097434,308.24587647176725,forecast,de440s.bsp
2029-01-03,968.5117834459952,heliocentric,195.07674453673235,40.14714681094733,72.56429459077776,8.055264021989517,308.30840286778016,forecast,de440s.bsp
2029-01-17,968.7128580285864,heliocentric,196.1351845430088,40.65040571641272,72.72730461759613,8.140746329705284,308.3708756033029,forecast,de440s.bsp
2029-01-31,968.9140664089726,heliocentric,197.19359110756508,41.1539398922531,72.89026863371485,8.226144872481548,308.43323542922855,forecast,de440s.bsp
2029-02-14,969.1154089661566,heliocentric,198.25199755728704,41.65774602342956,73.05318518132033,8.311458157302459,308.4954806982421,forecast,de440s.bsp
2029-02-28,969.3168865007335,heliocentric,199.3104382816765,42.16182121438782,73.216053454918,8.396685146057823,308.5576102045512,forecast,de440s.bsp
2029-03-14,969.5184997376733,heliocentric,200.36898421950156,42.66619836278599,73.3789086687823,8.481860796922453,308.6196587999456,forecast,de440s.bsp
2029-03-28,969.7202493035489,heliocentric,201.42769805652821,43.17090154546924,73.54177739190989,8.567011418997067,308.6816527401354,forecast,de440s.bsp
2029-04-11,969.922135537789,heliocentric,202.4866761485529,43.67598741022812,73.70471906020612,8.6521962204042,308.7436512913116,forecast,de440s.bsp
2029-04-25,970.1241577062725,heliocentric,203.54596295920024,44.18145984433337,73.86774051638055,8.73742216450692,308.8056616632443,forecast,de440s.bsp
2029-05-09,970.3263150291908,heliocentric,204.60564756627892,44.687369172536094,74.0308945973499,8.822742351165935,308.8677370827545,forecast,de440s.bsp
2029-05-23,970.5286072097937,heliocentric,205.66572756815236,45.193674765108504,74.19414312528217,8.908118719832164,308.9298395203853,forecast,de440s.bsp
2029-06-06,970.7310339644847,heliocentric,206.72626963722192,45.700405063852045,74.35751703258919,8.993582317387485,308.9920000503468,forecast,de440s.bsp
2029-06-20,970.9335951275763,heliocentric,207.78723489917624,46.20748332677381,74.52094202403484,9.079058943950427,309.0541444602467,forecast,de440s.bsp
2029-07-04,971.1362907710582,heliocentric,208.84867215027802,46.71492055559908,74.6844315922817,9.164562100483456,309.1162862067526,forecast,de440s.bsp
2029-07-18,971.3391205791651,heliocentric,209.9105411620707,47.22263803079948,74.84790969253261,9.250015854771604,309.17834940295006,forecast,de440s.bsp
2029-08-01,971.5420842337203,heliocentric,210.97288433584316,47.730641249932184,75.01138413055752,9.335428239581857,309.2403420136974,forecast,de440s.bsp
2029-08-15,971.7451824677157,heliocentric,212.03569773985387,48.2388906039858,75.17481743973974,9.420761685562889,309.3022262058819,forecast,de440s.bsp
2029-08-29,971.9484164134585,heliocentric,213.09902484929367,48.747393484072504,75.33821935081713,9.506025627419698,309.3640111440879,forecast,de440s.bsp
2029-09-12,972.1517873600783,heliocentric,214.16292362520238,49.256171333214084,75.50161383040654,9.591243632166524,309.4257201503674,forecast,de440s.bsp
2029-09-26,972.3552966954998,heliocentric,215.22743600225763,49.765228902335984,75.66500839341049,9.676422713861571,309.48736004566064,forecast,de440s.bsp
2029-10-10,972.5589452944043,heliocentric,216.29267260568912,50.27463790862149,75.82847796888252,9.761637368075395,309.5490053216804,forecast,de440s.bsp
2029-10-24,972.7627330879495,heliocentric,217.3586589721867,50.78438460559965,75.99201207191312,9.846877022939877,309.61064552793835,forecast,de440s.bsp
2029-11-07,972.9666603562853,heliocentric,218.42551432895633,51.294550081436014,76.15569485116278,9.932225672527505,309.6723646730201,forecast,de440s.bsp
2029-11-21,973.1707273352035,heliocentric,219.4932267918409,51.805083768768675,76.31947899262101,10.017635814677151,309.7341153250193,forecast,de440s.bsp
2029-12-05,973.3749338905061,heliocentric,220.56188353002176,52.31603367411532,76.48341589578376,10.103158767131928,309.7959489505307,forecast,de440s.bsp
2029-12-19,973.5792796248983,heliocentric,221.63142921692267,52.82730517082325,76.64741439013031,10.188703367199162,309.85777457768114,forecast,de440s.bsp
2030-01-02,973.7837637331936,heliocentric,222.70192256776616,53.338917032487196,76.81149688097895,10.274292141310974,309.91961501438215,forecast,de440s.bsp
2030-01-16,973.9883844128069,heliocentric,223.77328115562185,53.850746581929045,76.97554433597048,10.359806575303462,309.98135212956703,forecast,de440s.bsp
2030-01-30,974.1931402497954,heliocentric,224.84559035403433,54.36284144001612,77.1396074741253,10.445297942074165,310.0430373492276,forecast,de440s.bsp
2030-02-13,974.398030560291,heliocentric,225.91875907129184,54.87507399579122,77.3035616114865,10.530641898228986,310.104546331341,forecast,de440s.bsp
2030-02-27,974.6030550204048,heliocentric,226.9929562230478,55.38757727388626,77.46754264420305,10.615974574255409,310.16601513400065,forecast,de440s.bsp
2030-03-13,974.808213766593,heliocentric,228.0680818322388,55.90021615142058,77.63141825280162,10.701163740860446,310.2273113695051,forecast,de440s.bsp
2030-03-27,975.0135073630108,heliocentric,229.1443880937587,56.41320783898347,77.79540853740156,10.786429403838442,310.28865485589614,forecast,de440s.bsp
2030-04-10,975.2189359656243,heliocentric,230.22174599849637,56.92638742257261,77.9593517323035,10.871609794759362,310.34988374949137,forecast,de440s.bsp
2030-04-24,975.424499896454,heliocentric,231.3004379542633,57.44000280183832,78.12349861505807,10.956955724627015,310.41124866683106,forecast,de440s.bsp
2030-05-08,975.630200350497,heliocentric,232.38029343246797,57.953849965212754,78.28764798529163,11.04226570749144,310.4725478100431,forecast,de440s.bsp
2030-05-22,975.8360386725669,heliocentric,233.46156704675553,58.46814962781408,78.45202358715581,11.127763075032291,310.53400425087233,forecast,de440s.bsp
2030-06-05,976.0420161595084,heliocentric,234.544066966192,58.982675659481714,78.61640250965687,11.21322446287583,310.5953944299026,forecast,de440s.bsp
2030-06-19,976.2481340042508,heliocentric,235.62799281042706,59.49759281800052,78.78095295925927,11.298817589323201,310.65688595713385,forecast,de440s.bsp
2030-07-03,976.454392601971,heliocentric,236.71316953593026,60.01268950093949,78.94546721032606,11.384334421816412,310.71827090934056,forecast,de440s.bsp
